n_nodes,tx_pct,k_neighbors,n_trials,mean_degree_avg,mean_degree_std,connected_rate,converge_rate,ticks_avg,ticks_std,rmse_avg,rmse_std,violation_avg,r_over_s_avg,tx_energy_proxy,isolated_avg
50,5.0,6,5,0.312,0.059,0.0,1.0,3.8,0.7,302.637,3.775,0.0,0.5,0.000559,35.0
50,5.0,10,5,0.312,0.059,0.0,1.0,3.8,0.7,302.637,3.775,0.0,0.5,0.000559,35.0
50,5.0,12,5,0.312,0.059,0.0,1.0,3.8,0.7,302.637,3.775,0.0,0.5,0.000559,35.0
50,8.0,6,5,1.208,0.132,0.0,1.0,7.0,0.9,301.917,3.232,0.0,0.8,0.00181,10.8
50,8.0,10,5,1.208,0.132,0.0,1.0,7.0,0.9,301.917,3.232,0.0,0.8,0.00181,10.8
50,8.0,12,5,1.208,0.132,0.0,1.0,7.0,0.9,301.917,3.232,0.0,0.8,0.00181,10.8
50,10.0,6,5,2.288,0.142,0.0,1.0,13.6,7.7,296.003,2.767,0.0,1.0,0.003162,3.6
50,10.0,10,5,2.288,0.142,0.0,1.0,13.6,7.7,296.003,2.767,0.0,1.0,0.003162,3.6
50,10.0,12,5,2.288,0.142,0.0,1.0,13.6,7.7,296.003,2.767,0.0,1.0,0.003162,3.6
50,12.0,6,5,3.584,0.077,0.2,1.0,30.2,28.8,310.308,35.467,0.03,1.2,0.004988,1.0
50,12.0,10,5,3.6,0.091,0.2,1.0,31.4,33.6,311.907,36.094,0.03,1.2,0.004988,1.0
50,12.0,12,5,3.6,0.091,0.2,1.0,31.4,33.6,311.907,36.094,0.03,1.2,0.004988,1.0
50,15.0,6,5,5.224,0.154,1.0,0.6,160.2,75.2,238.278,149.496,3.5225,1.5,0.008714,0.0
50,15.0,10,5,5.976,0.278,1.0,0.6,152.4,86.7,237.314,149.95,2.0871,1.5,0.008714,0.0
50,15.0,12,5,5.976,0.278,1.0,0.6,152.4,86.7,237.314,149.95,2.0871,1.5,0.008714,0.0
50,20.0,6,5,5.856,0.048,1.0,0.6,179.0,74.8,266.149,154.123,2.7328,2.0,0.017889,0.0
50,20.0,10,5,8.76,0.191,1.0,1.0,57.0,24.0,188.468,180.605,0.0,2.0,0.017889,0.0
50,20.0,12,5,9.6,0.292,1.0,0.8,117.0,79.5,179.503,180.393,2.2099,2.0,0.017889,0.0
50,25.0,6,5,5.988,0.01,1.0,0.6,176.8,63.9,283.581,141.338,2.7353,2.5,0.03125,0.0
50,25.0,10,5,9.704,0.093,1.0,1.0,65.0,24.9,255.648,182.504,0.0,2.5,0.03125,0.0
50,25.0,12,5,11.26,0.179,1.0,1.0,75.8,80.6,248.959,176.682,0.0,2.5,0.03125,0.0
