n_nodes,tx_pct,k_neighbors,n_trials,mean_degree_avg,mean_degree_std,connected_rate,hard_converge_rate,meaningful_hard_rate,soft_converge_rate,ticks_avg,ticks_std,rmse_avg,rmse_std,violation_avg,r_over_s_avg,tx_energy_proxy,isolated_avg
50,5.0,6,5,0.312,0.066,0.0,1.0,0.0,0.0,3.8,0.8,302.637,4.221,0.0,0.5,0.000559,35.0
50,5.0,10,5,0.312,0.066,0.0,1.0,0.0,0.0,3.8,0.8,302.637,4.221,0.0,0.5,0.000559,35.0
50,5.0,12,5,0.312,0.066,0.0,1.0,0.0,0.0,3.8,0.8,302.637,4.221,0.0,0.5,0.000559,35.0
50,8.0,6,5,1.208,0.148,0.0,1.0,0.0,0.0,7.0,1.0,301.917,3.613,0.0,0.8,0.00181,10.8
50,8.0,10,5,1.208,0.148,0.0,1.0,0.0,0.0,7.0,1.0,301.917,3.613,0.0,0.8,0.00181,10.8
50,8.0,12,5,1.208,0.148,0.0,1.0,0.0,0.0,7.0,1.0,301.917,3.613,0.0,0.8,0.00181,10.8
50,10.0,6,5,2.288,0.158,0.0,1.0,0.0,0.0,13.6,8.6,296.003,3.094,0.0,1.0,0.003162,3.6
50,10.0,10,5,2.288,0.158,0.0,1.0,0.0,0.0,13.6,8.6,296.003,3.094,0.0,1.0,0.003162,3.6
50,10.0,12,5,2.288,0.158,0.0,1.0,0.0,0.0,13.6,8.6,296.003,3.094,0.0,1.0,0.003162,3.6
50,12.0,6,5,3.584,0.086,0.2,1.0,0.0,0.0,30.2,32.2,310.308,39.653,0.03,1.2,0.004988,1.0
50,12.0,10,5,3.6,0.102,0.2,1.0,0.0,0.0,31.4,37.6,311.907,40.354,0.03,1.2,0.004988,1.0
50,12.0,12,5,3.6,0.102,0.2,1.0,0.0,0.0,31.4,37.6,311.907,40.354,0.03,1.2,0.004988,1.0
50,15.0,6,5,5.224,0.172,1.0,0.6,0.0,0.0,160.2,84.0,238.278,167.141,3.5225,1.5,0.008714,0.0
50,15.0,10,5,5.976,0.311,1.0,0.6,0.4,0.4,152.4,96.9,237.314,167.649,2.0871,1.5,0.008714,0.0
50,15.0,12,5,5.976,0.311,1.0,0.6,0.4,0.4,152.4,96.9,237.314,167.649,2.0871,1.5,0.008714,0.0
50,20.0,6,5,5.856,0.054,1.0,0.6,0.0,0.0,179.0,83.7,266.149,172.315,2.7328,2.0,0.017889,0.0
50,20.0,10,5,8.76,0.214,1.0,1.0,1.0,1.0,57.0,26.8,188.468,201.922,0.0,2.0,0.017889,0.0
50,20.0,12,5,9.6,0.326,1.0,0.8,0.8,0.8,117.0,88.8,179.503,201.685,2.2099,2.0,0.017889,0.0
50,25.0,6,5,5.988,0.011,1.0,0.6,0.2,0.2,176.8,71.4,283.581,158.021,2.7353,2.5,0.03125,0.0
50,25.0,10,5,9.704,0.104,1.0,1.0,1.0,1.0,65.0,27.8,255.648,204.046,0.0,2.5,0.03125,0.0
50,25.0,12,5,11.26,0.2,1.0,1.0,1.0,1.0,75.8,90.1,248.959,197.537,0.0,2.5,0.03125,0.0
50,30.0,6,5,6.0,0.0,1.0,0.4,0.4,0.6,196.6,75.7,208.565,172.184,3.1708,3.0,0.049295,0.0
50,30.0,10,5,9.948,0.066,1.0,0.8,0.8,0.8,125.0,75.5,265.061,191.037,1.4399,3.0,0.049295,0.0
50,30.0,12,5,11.848,0.119,1.0,0.8,0.8,0.8,94.8,93.0,259.549,204.83,1.9496,3.0,0.049295,0.0
100,5.0,6,5,0.824,0.052,0.0,1.0,0.0,0.0,12.4,4.0,313.764,2.817,0.0,0.7071,0.000559,36.8
100,5.0,10,5,0.824,0.052,0.0,1.0,0.0,0.0,12.4,4.0,313.764,2.817,0.0,0.7071,0.000559,36.8
100,5.0,12,5,0.824,0.052,0.0,1.0,0.0,0.0,12.4,4.0,313.764,2.817,0.0,0.7071,0.000559,36.8
100,8.0,6,5,2.872,0.108,0.0,1.0,0.0,0.0,30.2,4.2,298.545,28.779,0.0696,1.1314,0.00181,2.0
100,8.0,10,5,2.872,0.108,0.0,1.0,0.0,0.0,30.2,4.2,298.545,28.779,0.0696,1.1314,0.00181,2.0
100,8.0,12,5,2.872,0.108,0.0,1.0,0.0,0.0,30.2,4.2,298.545,28.779,0.0696,1.1314,0.00181,2.0
100,10.0,6,5,4.69,0.149,1.0,0.4,0.0,0.0,212.8,54.7,238.984,138.526,0.6225,1.4142,0.003162,0.0
100,10.0,10,5,4.908,0.224,1.0,0.4,0.0,0.0,228.4,34.5,177.485,116.94,0.6018,1.4142,0.003162,0.0
100,10.0,12,5,4.908,0.224,1.0,0.4,0.0,0.0,228.4,34.5,177.485,116.94,0.6018,1.4142,0.003162,0.0
100,12.0,6,5,5.62,0.089,1.0,0.4,0.0,0.0,244.0,8.9,155.901,144.156,1.6223,1.6971,0.004988,0.0
100,12.0,10,5,7.222,0.297,1.0,0.4,0.4,0.4,189.2,83.8,121.674,181.852,2.8775,1.6971,0.004988,0.0
100,12.0,12,5,7.276,0.337,1.0,0.6,0.6,0.6,169.8,78.2,125.821,179.522,1.0237,1.6971,0.004988,0.0
100,15.0,6,5,5.978,0.018,1.0,0.2,0.0,0.0,231.8,40.7,172.608,140.11,3.1561,2.1213,0.008714,0.0
100,15.0,10,5,9.33,0.093,1.0,0.4,0.4,0.6,170.4,109.2,115.907,180.334,1.9195,2.1213,0.008714,0.0
100,15.0,12,5,10.506,0.132,1.0,0.6,0.6,0.6,201.6,88.6,200.177,221.08,2.2775,2.1213,0.008714,0.0
100,20.0,6,5,6.0,0.0,1.0,0.2,0.2,0.2,234.0,35.8,163.92,121.485,2.9798,2.8284,0.017889,0.0
100,20.0,10,5,9.954,0.025,1.0,0.4,0.4,0.4,181.8,94.6,128.838,174.028,2.0696,2.8284,0.017889,0.0
100,20.0,12,5,11.828,0.05,1.0,0.6,0.6,0.6,135.2,105.7,196.113,207.129,2.8191,2.8284,0.017889,0.0
100,25.0,6,5,6.0,0.0,1.0,0.2,0.2,0.2,234.0,35.8,163.92,121.485,2.9798,3.5355,0.03125,0.0
100,25.0,10,5,10.0,0.0,1.0,0.2,0.2,0.2,212.2,84.5,54.892,27.472,2.3824,3.5355,0.03125,0.0
100,25.0,12,5,11.996,0.005,1.0,0.6,0.6,0.6,134.0,106.9,193.392,220.153,1.7908,3.5355,0.03125,0.0
100,30.0,6,5,6.0,0.0,1.0,0.2,0.2,0.2,234.0,35.8,163.92,121.485,2.9798,4.2426,0.049295,0.0
100,30.0,10,5,10.0,0.0,1.0,0.4,0.4,0.4,193.4,84.5,53.785,28.521,2.0859,4.2426,0.049295,0.0
100,30.0,12,5,12.0,0.0,1.0,0.8,0.8,0.8,135.4,98.5,195.161,224.51,1.02,4.2426,0.049295,0.0
150,5.0,6,5,1.637,0.07,0.0,1.0,0.0,0.0,36.0,8.1,306.613,5.472,0.1612,0.866,0.000559,16.4
150,5.0,10,5,1.637,0.07,0.0,1.0,0.0,0.0,36.0,8.1,306.613,5.472,0.1612,0.866,0.000559,16.4
150,5.0,12,5,1.637,0.07,0.0,1.0,0.0,0.0,36.0,8.1,306.613,5.472,0.1612,0.866,0.000559,16.4
150,8.0,6,5,4.877,0.065,1.0,0.0,0.0,0.0,250.0,0.0,226.923,69.475,2.0688,1.3856,0.00181,0.0
150,8.0,10,5,5.085,0.099,1.0,0.0,0.0,0.0,250.0,0.0,233.666,134.654,1.4603,1.3856,0.00181,0.0
150,8.0,12,5,5.085,0.099,1.0,0.0,0.0,0.0,250.0,0.0,233.666,134.654,1.4603,1.3856,0.00181,0.0
150,10.0,6,5,5.821,0.049,1.0,0.0,0.0,0.0,250.0,0.0,152.224,59.447,3.3309,1.7321,0.003162,0.0
150,10.0,10,5,8.124,0.109,1.0,0.2,0.2,0.2,230.8,42.9,266.338,210.9,3.9997,1.7321,0.003162,0.0
150,10.0,12,5,8.287,0.117,1.0,0.2,0.2,0.4,222.6,61.3,255.944,206.64,2.3002,1.7321,0.003162,0.0
150,12.0,6,5,5.972,0.014,1.0,0.0,0.0,0.0,250.0,0.0,145.58,79.497,4.7985,2.0785,0.004988,0.0
150,12.0,10,5,9.474,0.051,1.0,0.2,0.2,0.6,233.0,38.0,259.611,216.49,2.1683,2.0785,0.004988,0.0
150,12.0,12,5,10.775,0.058,1.0,0.2,0.2,0.2,227.2,51.0,260.911,204.58,4.0098,2.0785,0.004988,0.0
