n_nodes,seed,k_neighbors,tx_pct,connected,n_pairs_requested,n_pairs,pdr,mean_hops_delivered,mean_stretch_delivered,greedy_failure_rate,loop_rate,dead_end_rate,hop_limit_rate,disconnected_rate,decision_agreement,case
250,0,10,12.521980673998822,1,500,500.0,1.0,4.614,1.1570095238095237,0.0,0.0,0.0,0.0,0.0,,A_reference
250,0,10,12.521980673998822,1,500,500.0,1.0,4.63,1.1599190476190475,0.0,0.0,0.0,0.0,0.0,0.8868880952380953,B_mds_only
250,0,10,12.521980673998822,1,500,500.0,1.0,4.63,1.1599190476190475,0.0,0.0,0.0,0.0,0.0,0.8868880952380953,C_mds_attraction
250,1,10,12.521980673998822,1,500,500.0,1.0,4.476,1.1396238095238096,0.0,0.0,0.0,0.0,0.0,,A_reference
250,1,10,12.521980673998822,1,500,500.0,1.0,4.476,1.1367857142857143,0.0,0.0,0.0,0.0,0.0,0.9017960317460317,B_mds_only
250,1,10,12.521980673998822,1,500,500.0,1.0,4.476,1.1367857142857143,0.0,0.0,0.0,0.0,0.0,0.9017960317460317,C_mds_attraction
250,2,10,12.521980673998822,1,500,500.0,1.0,4.514,1.1632190476190476,0.0,0.0,0.0,0.0,0.0,,A_reference
250,2,10,12.521980673998822,1,500,500.0,1.0,4.498,1.1596190476190475,0.0,0.0,0.0,0.0,0.0,0.8894595238095239,B_mds_only
250,2,10,12.521980673998822,1,500,500.0,1.0,4.498,1.1596190476190475,0.0,0.0,0.0,0.0,0.0,0.8894595238095239,C_mds_attraction
250,3,10,12.521980673998822,1,500,500.0,1.0,4.566,1.1406142857142856,0.0,0.0,0.0,0.0,0.0,,A_reference
250,3,10,12.521980673998822,1,500,500.0,1.0,4.584,1.1440142857142857,0.0,0.0,0.0,0.0,0.0,0.8941119047619047,B_mds_only
250,3,10,12.521980673998822,1,500,500.0,1.0,4.584,1.1440142857142857,0.0,0.0,0.0,0.0,0.0,0.8941119047619047,C_mds_attraction
250,4,10,12.521980673998822,1,500,500.0,1.0,4.424,1.1470857142857145,0.0,0.0,0.0,0.0,0.0,,A_reference
