n_nodes,seed,case,src,dest,status,hop_count,shortest_hops,stretch,decision_agreement
250,0,A_reference,117,240,delivered,4,4,1.0,
250,0,A_reference,171,225,delivered,5,5,1.0,
250,0,A_reference,244,183,delivered,2,2,1.0,
250,0,A_reference,178,67,delivered,4,3,1.3333333333333333,
250,0,A_reference,32,227,delivered,6,5,1.2,
250,0,A_reference,222,216,delivered,3,3,1.0,
250,0,A_reference,211,61,delivered,7,6,1.1666666666666667,
250,0,A_reference,26,162,delivered,5,5,1.0,
250,0,A_reference,239,180,delivered,5,4,1.25,
250,0,A_reference,173,133,delivered,4,4,1.0,
250,0,A_reference,210,167,delivered,3,2,1.5,
250,0,A_reference,131,186,delivered,4,3,1.3333333333333333,
250,0,A_reference,104,11,delivered,3,3,1.0,
250,0,A_reference,109,197,delivered,5,4,1.25,
250,0,A_reference,24,29,delivered,2,2,1.0,
250,0,A_reference,235,55,delivered,6,5,1.2,
250,0,A_reference,185,143,delivered,4,3,1.3333333333333333,
250,0,A_reference,190,34,delivered,7,6,1.1666666666666667,
250,0,A_reference,165,160,delivered,3,2,1.5,
250,0,A_reference,111,88,delivered,3,3,1.0,
250,0,A_reference,62,225,delivered,10,7,1.4285714285714286,
250,0,A_reference,49,12,delivered,5,5,1.0,
250,0,A_reference,122,150,delivered,2,2,1.0,
250,0,A_reference,81,183,delivered,4,4,1.0,
250,0,A_reference,148,240,delivered,3,3,1.0,
250,0,A_reference,106,210,delivered,4,4,1.0,
250,0,A_reference,39,206,delivered,6,5,1.2,
250,0,A_reference,31,32,delivered,7,6,1.1666666666666667,
250,0,A_reference,144,169,delivered,4,4,1.0,
250,0,A_reference,237,210,delivered,5,5,1.0,
250,0,A_reference,211,0,delivered,7,6,1.1666666666666667,
250,0,A_reference,48,134,delivered,4,3,1.3333333333333333,
250,0,A_reference,104,182,delivered,3,2,1.5,
250,0,A_reference,77,151,delivered,5,3,1.6666666666666667,
250,0,A_reference,57,127,delivered,3,3,1.0,
250,0,A_reference,48,62,delivered,7,6,1.1666666666666667,
250,0,A_reference,127,116,delivered,5,5,1.0,
250,0,A_reference,229,143,delivered,7,5,1.4,
250,0,A_reference,35,122,delivered,4,4,1.0,
250,0,A_reference,117,81,delivered,2,2,1.0,
250,0,A_reference,171,211,delivered,4,4,1.0,
250,0,A_reference,71,237,delivered,6,5,1.2,
250,0,A_reference,12,129,delivered,7,6,1.1666666666666667,
250,0,A_reference,48,178,delivered,4,3,1.3333333333333333,
250,0,A_reference,57,98,delivered,5,4,1.25,
250,0,A_reference,110,89,delivered,3,2,1.5,
250,0,A_reference,91,189,delivered,3,3,1.0,
250,0,A_reference,78,83,delivered,6,5,1.2,
250,0,A_reference,80,189,delivered,8,6,1.3333333333333333,
250,0,A_reference,35,236,delivered,6,6,1.0,
250,0,A_reference,169,209,delivered,4,4,1.0,
