n_nodes,k_neighbors,target_degree,min_tx_pct,tx_energy_proxy,converge_rate,rmse_avg,mean_degree_avg,note
50,6,6.0,30.0,0.049295,0.4,208.565,6.0,energy-optimal Tx for density
50,10,6.0,20.0,0.017889,1.0,188.468,8.76,energy-optimal Tx for density
50,12,6.0,20.0,0.017889,0.8,179.503,9.6,energy-optimal Tx for density
100,6,6.0,20.0,0.017889,0.2,163.92,6.0,energy-optimal Tx for density
100,10,6.0,12.0,0.004988,0.4,121.674,7.222,energy-optimal Tx for density
100,12,6.0,12.0,0.004988,0.6,125.821,7.276,energy-optimal Tx for density
150,6,6.0,15.0,0.008714,0.0,160.974,6.0,energy-optimal Tx for density
150,10,6.0,10.0,0.003162,0.2,266.338,8.124,energy-optimal Tx for density
150,12,6.0,10.0,0.003162,0.2,255.944,8.287,energy-optimal Tx for density
200,6,6.0,15.0,0.008714,0.0,211.886,6.0,energy-optimal Tx for density
200,10,6.0,8.0,0.00181,0.0,251.457,7.207,energy-optimal Tx for density
200,12,6.0,8.0,0.00181,0.0,240.546,7.226,energy-optimal Tx for density
300,6,6.0,12.0,0.004988,0.0,267.713,6.0,energy-optimal Tx for density
300,10,6.0,8.0,0.00181,0.0,208.963,9.524,energy-optimal Tx for density
300,12,6.0,8.0,0.00181,0.0,164.853,10.632,energy-optimal Tx for density
