n_nodes,k_neighbors,target_degree,min_tx_pct,tx_energy_proxy,converge_rate,rmse_avg,note
50,6,8.0,,,,,no feasible tx in matrix
50,10,8.0,20.0,0.017889,1.0,188.468,energy-optimal Tx for density
50,12,8.0,20.0,0.017889,0.8,179.503,energy-optimal Tx for density
100,6,8.0,,,,,no feasible tx in matrix
100,10,8.0,15.0,0.008714,0.4,115.907,energy-optimal Tx for density
100,12,8.0,15.0,0.008714,0.6,200.177,energy-optimal Tx for density
150,6,8.0,,,,,no feasible tx in matrix
150,10,8.0,10.0,0.003162,0.2,266.338,energy-optimal Tx for density
150,12,8.0,10.0,0.003162,0.2,255.944,energy-optimal Tx for density
200,6,8.0,,,,,no feasible tx in matrix
200,10,8.0,10.0,0.003162,0.2,120.704,energy-optimal Tx for density
200,12,8.0,10.0,0.003162,0.0,150.646,energy-optimal Tx for density
300,6,8.0,,,,,no feasible tx in matrix
300,10,8.0,8.0,0.00181,0.0,208.963,energy-optimal Tx for density
300,12,8.0,8.0,0.00181,0.0,164.853,energy-optimal Tx for density
