n_nodes,k_neighbors,target_degree,min_tx_pct,tx_energy_proxy,soft_converge_rate,rmse_avg,mean_degree_avg,note
50,6,8.0,,,,,,no feasible tx in matrix
100,6,8.0,,,,,,no feasible tx in matrix
150,6,8.0,,,,,,no feasible tx in matrix
200,6,8.0,,,,,,no feasible tx in matrix
300,6,8.0,,,,,,no feasible tx in matrix
50,10,8.0,20.0,0.017889,1.0,247.208,8.76,energy-optimal Tx for density
100,10,8.0,15.0,0.008714,0.6,116.065,9.33,energy-optimal Tx for density
150,10,8.0,10.0,0.003162,0.4,191.178,8.124,energy-optimal Tx for density
200,10,8.0,10.0,0.003162,0.2,214.382,9.52,energy-optimal Tx for density
300,10,8.0,8.0,0.00181,0.2,307.751,9.524,energy-optimal Tx for density
50,12,8.0,20.0,0.017889,0.8,245.393,9.6,energy-optimal Tx for density
100,12,8.0,15.0,0.008714,1.0,112.951,10.506,energy-optimal Tx for density
150,12,8.0,10.0,0.003162,0.2,178.758,8.287,energy-optimal Tx for density
200,12,8.0,10.0,0.003162,0.8,179.074,10.794,energy-optimal Tx for density
300,12,8.0,8.0,0.00181,0.4,335.68,10.632,energy-optimal Tx for density
