n_nodes,seed,tx_pct,k_neighbors,reference_columns,connected,mean_degree,ticks,converged_hard,mean_constraint_violation,procrustes_rmse,angle_mae_deg,angle_sd_deg,angle_cv_pct,n_edge_angles,directional_correctness,mode,init_mode,uniform_normalize,early_stop,max_ticks
25,0,39.59797974644666,10,5,1,9.76,150,1,0.0,7.289979994116057,1.3640308219612158,1.1235367583234759,82.36886881397919,121,1.0,A_planned_geometry,mds,1,0,150
25,1,39.59797974644666,10,5,1,9.84,150,1,0.0,38.15678454592254,9.109698127209159,6.774610858486535,74.36701813698848,124,0.99,A_planned_geometry,mds,1,0,150
25,2,39.59797974644666,10,5,1,9.8,150,1,0.0,30.10561209639059,6.491955495381742,5.037244497650829,77.59209842449216,129,0.995,A_planned_geometry,mds,1,0,150
25,3,39.59797974644666,10,5,1,9.6,150,1,0.0,5.0683772023624964,1.0795907724200124,0.7898351228319004,73.16060335171305,120,0.995,A_planned_geometry,mds,1,0,150
25,4,39.59797974644666,10,5,1,9.76,150,1,0.0,4.161533313798741,0.9435452162099807,1.0043992805289812,106.44951225161613,125,1.0,A_planned_geometry,mds,1,0,150
25,5,39.59797974644666,10,5,1,9.76,150,1,0.0,389.10915922182915,82.07733731896185,53.11452544321107,64.71277843334755,126,0.97,A_planned_geometry,mds,1,0,150
25,6,39.59797974644666,10,5,1,9.52,150,1,0.0,7.626294068614738,1.5211039369571473,1.5262847148383578,100.34059328592457,123,1.0,A_planned_geometry,mds,1,0,150
25,7,39.59797974644666,10,5,1,9.64,150,1,0.0,428.43332267885046,90.22848166497562,52.57184576847981,58.26524485215498,118,0.965,A_planned_geometry,mds,1,0,150
25,8,39.59797974644666,10,5,1,9.96,150,1,0.0,46.085194700234844,10.828864918844756,9.473728005306588,87.48588218900106,121,0.96,A_planned_geometry,mds,1,0,150
25,9,39.59797974644666,10,5,1,9.8,150,1,0.0,425.71981578460395,91.22595576052659,48.7719608933344,53.46281163813029,123,0.975,A_planned_geometry,mds,1,0,150
25,10,39.59797974644666,10,5,1,9.96,150,1,0.0,4.258760749996996,0.9009283874379779,0.8458442232436452,93.88584431766228,127,0.98,A_planned_geometry,mds,1,0,150
25,11,39.59797974644666,10,5,1,9.68,150,1,0.0,55.80766128526232,9.362486275736236,6.764920872800618,72.25560255647633,118,0.99,A_planned_geometry,mds,1,0,150
25,12,39.59797974644666,10,5,1,9.76,150,1,0.0,46.032704341535194,8.191126184418733,7.935074014993615,96.87402972851055,124,0.985,A_planned_geometry,mds,1,0,150
25,13,39.59797974644666,10,5,1,9.8,150,1,0.0,10.27938806926093,2.0157080549232353,1.9645197095967741,97.46052781793291,127,0.985,A_planned_geometry,mds,1,0,150
25,14,39.59797974644666,10,5,1,9.68,150,1,0.0,58.59267173860551,10.597990763901254,8.374636437952717,79.02098260434704,119,0.98,A_planned_geometry,mds,1,0,150
25,15,39.59797974644666,10,5,1,9.92,150,1,0.0,4.1875195650503985,0.9240489005096784,0.784728936176123,84.9228797029345,130,0.99,A_planned_geometry,mds,1,0,150
25,16,39.59797974644666,10,5,1,9.8,150,1,0.0,439.41208564308175,87.71273097108589,49.97018901624631,56.970280668514086,123,0.98,A_planned_geometry,mds,1,0,150
25,17,39.59797974644666,10,5,1,9.64,150,1,0.0,9.869466932639549,1.9094800239715117,1.6259544620067314,85.15168745389241,122,0.99,A_planned_geometry,mds,1,0,150
25,18,39.59797974644666,10,5,1,9.76,150,1,0.0,417.95446152741437,86.32816345561552,50.62100206455989,58.63787672326193,122,0.96,A_planned_geometry,mds,1,0,150
25,19,39.59797974644666,10,5,1,9.76,150,1,0.0,4.310010455618375,0.8943912313198495,0.988906070322953,110.56750510217192,126,0.995,A_planned_geometry,mds,1,0,150
64,0,24.74873734152916,10,8,1,9.90625,150,1,0.0,7.100147321873757,2.5852219620224552,2.476798634189359,95.80603408814169,321,0.985,A_planned_geometry,mds,1,0,150
64,1,24.74873734152916,10,8,1,9.90625,150,1,0.0,8.045059579599224,2.7419698448447116,2.5137234719000863,91.67582483178069,315,0.975,A_planned_geometry,mds,1,0,150
64,2,24.74873734152916,10,8,1,9.90625,150,1,0.0,5.025480101231604,1.7888931566302764,1.6211750623185686,90.62447672237525,319,0.98,A_planned_geometry,mds,1,0,150
64,3,24.74873734152916,10,8,1,9.890625,150,1,0.0,6.863530537170451,2.2912569142590025,2.157227373215036,94.15039229298684,313,0.975,A_planned_geometry,mds,1,0,150
64,4,24.74873734152916,10,8,1,9.875,150,1,0.0,433.26891899883515,89.30731671440503,52.091617912783136,58.32849964506983,310,0.975,A_planned_geometry,mds,1,0,150
64,5,24.74873734152916,10,8,1,9.90625,150,1,0.0,28.29981991623103,9.190187061534955,7.936320624105291,86.35646446547692,315,0.94,A_planned_geometry,mds,1,0,150
64,6,24.74873734152916,10,8,1,9.8125,150,1,0.0,417.84191525784416,81.68943068479201,49.28255977241783,60.32917521800366,309,0.93,A_planned_geometry,mds,1,0,150
